trade_id,trader_id,symbol,buy_date,sell_date,buy_value,sell_value,quantity,pnl
1,1,GOOGL,2023-01-01,2023-01-29,13391.44,14567.81,32,1176.37
2,1,AMD,2023-01-08,2023-01-17,9387.34,9894.09,87,506.75
3,1,AAPL,2023-01-12,2023-01-19,11649.22,10804.75,5,-844.47
4,1,AMD,2023-01-21,2023-01-28,13277.1,12689.4,30,-587.71
5,1,GOOGL,2023-01-27,2023-02-20,13147.94,13005.08,72,-142.86
6,1,NFLX,2023-01-30,2023-02-26,9026.95,8923.73,29,-103.22
7,1,NVDA,2023-02-08,2023-03-03,12618.28,13442.9,1,824.61
8,1,META,2023-02-15,2023-03-14,16635.12,16566.59,44,-68.53
9,1,AMZN,2023-02-24,2023-03-05,9597.12,9629.63,98,32.51
10,1,MSFT,2023-03-02,2023-03-10,17872.7,17871.91,49,-0.79
11,1,META,2023-03-06,2023-03-22,15716.88,16368.66,78,651.78
12,1,NFLX,2023-03-14,2023-04-13,16475.66,17291.32,94,815.66
13,1,MSFT,2023-03-17,2023-04-08,11719.84,11967.82,49,247.98
14,1,INTC,2023-03-21,2023-04-12,19227.74,19578.07,81,350.33
15,1,MSFT,2023-03-28,2023-04-13,17905.05,17606.82,91,-298.22
16,1,META,2023-04-03,2023-04-09,8086.87,8165.68,99,78.81
17,1,TSLA,2023-04-09,2023-04-16,17684.27,19855.91,13,2171.64
18,1,AMZN,2023-04-15,2023-04-28,10386.02,10644.41,82,258.39
19,1,GOOGL,2023-04-25,2023-05-05,9901.46,10863.69,46,962.22
20,1,MSFT,2023-05-03,2023-05-29,15154.63,14171.04,90,-983.59
21,1,GOOGL,2023-05-10,2023-06-03,13347.1,12664.24,69,-682.86
22,1,META,2023-05-15,2023-05-25,16108.24,17506.95,49,1398.71
23,1,AMZN,2023-05-25,2023-06-19,17159.38,16272.55,88,-886.82
24,1,AAPL,2023-05-31,2023-06-29,16471.5,15878.31,30,-593.19
25,1,META,2023-06-03,2023-07-03,10382.81,10646.19,52,263.38
26,1,AMZN,2023-06-11,2023-06-18,15083.23,16304.96,73,1221.74
27,1,NFLX,2023-06-17,2023-06-28,15504.07,15467.73,51,-36.34
28,1,GOOGL,2023-06-27,2023-07-06,17364.25,18099.06,18,734.81
29,1,INTC,2023-07-04,2023-08-01,10892.84,10687.02,96,-205.82
30,1,GOOGL,2023-07-11,2023-07-29,18881.35,18964.85,47,83.51
31,1,AAPL,2023-07-20,2023-07-29,10289.81,10715.45,12,425.64
32,1,NVDA,2023-07-30,2023-08-07,18420.13,18226.95,81,-193.18
33,1,MSFT,2023-08-04,2023-09-03,17091.78,19276.23,77,2184.45
34,1,NFLX,2023-08-13,2023-08-30,17197.48,17921.72,77,724.24
35,1,AAPL,2023-08-22,2023-09-12,13396.72,13759.22,71,362.5
36,1,AMD,2023-08-29,2023-09-24,15592.61,14914.42,88,-678.19
37,1,AMZN,2023-09-02,2023-10-01,13774.84,12775.78,99,-999.06
38,1,NVDA,2023-09-09,2023-09-17,9017.2,9281.97,56,264.77
39,1,META,2023-09-16,2023-10-05,9564.84,10725.74,93,1160.91
40,1,MSFT,2023-09-19,2023-10-10,12190.47,13433.42,65,1242.96
41,1,AMD,2023-09-24,2023-10-19,12353.97,10407.59,82,-1946.38
42,1,AMZN,2023-10-01,2023-10-25,13045.87,12815.2,20,-230.67
43,1,AMD,2023-10-07,2023-11-05,13603.59,13915.77,70,312.18
44,1,AAPL,2023-10-12,2023-10-17,12816.29,14107.75,63,1291.46
45,1,GOOGL,2023-10-20,2023-10-28,19920.3,20450.09,40,529.79
46,1,MSFT,2023-10-28,2023-11-03,10002.0,10856.9,73,854.89
47,2,NFLX,2023-01-01,2023-01-08,10663.32,11458.51,17,795.19
48,2,AMD,2023-01-06,2023-01-28,12961.26,12845.48,34,-115.77
49,2,AMD,2023-01-11,2023-02-04,9758.35,10643.37,28,885.02
50,2,META,2023-01-20,2023-02-18,18638.5,18678.17,92,39.67
51,2,AMD,2023-01-26,2023-02-12,16204.7,17319.14,57,1114.44
52,2,GOOGL,2023-02-03,2023-02-22,13998.76,13643.64,32,-355.12
53,2,INTC,2023-02-07,2023-02-14,13050.79,13404.59,3,353.8
54,2,GOOGL,2023-02-15,2023-03-09,18377.04,17279.16,76,-1097.88
55,2,AAPL,2023-02-21,2023-02-26,13237.16,13290.09,91,52.93
56,2,AMZN,2023-02-25,2023-03-09,16491.25,16185.56,5,-305.69
