date,symbol,action,quantity,price,pnl,holding_duration_minutes
2024-01-02 09:30:00,AAPL,buy,100,185.50,-320.00,45
2024-01-02 09:35:00,AAPL,buy,150,186.00,-475.00,30
2024-01-02 10:15:00,AAPL,sell,200,185.20,180.00,60
2024-01-02 10:20:00,MSFT,buy,80,375.00,-640.00,15
2024-01-02 10:25:00,MSFT,buy,120,376.50,-890.00,10
2024-01-03 09:31:00,TSLA,buy,50,245.00,625.00,120
2024-01-03 11:30:00,TSLA,sell,50,258.00,650.00,90
2024-01-03 14:00:00,AAPL,buy,100,187.20,320.00,180
2024-01-04 09:30:00,NVDA,buy,60,480.00,-1200.00,20
2024-01-04 09:35:00,NVDA,buy,100,482.00,-1500.00,8
2024-01-04 09:40:00,NVDA,buy,150,484.50,-2100.00,5
2024-01-04 09:50:00,AAPL,buy,200,186.00,-400.00,12
2024-01-04 10:05:00,MSFT,buy,90,374.00,270.00,240
2024-01-05 09:30:00,AAPL,buy,100,188.00,150.00,60
2024-01-05 09:45:00,AAPL,buy,120,188.50,180.00,45
2024-01-05 10:00:00,AAPL,buy,180,189.20,360.00,30
2024-01-05 10:10:00,AAPL,buy,250,190.00,-500.00,15
2024-01-05 10:15:00,AAPL,buy,300,191.00,-900.00,8
2024-01-08 09:30:00,TSLA,buy,40,250.00,400.00,180
2024-01-08 12:30:00,TSLA,sell,40,260.00,400.00,120
2024-01-08 14:00:00,MSFT,buy,50,378.00,-150.00,90
2024-01-08 15:00:00,MSFT,buy,80,376.00,-240.00,30
2024-01-08 15:10:00,MSFT,buy,100,375.50,-350.00,10
2024-01-09 09:30:00,NVDA,buy,70,490.00,700.00,60
2024-01-09 10:30:00,NVDA,sell,70,500.00,700.00,45
2024-01-09 11:00:00,AAPL,buy,100,192.00,-200.00,20
2024-01-09 11:05:00,AAPL,buy,150,192.50,-375.00,8
2024-01-09 11:10:00,AAPL,buy,200,193.00,-600.00,5
2024-01-10 09:30:00,TSLA,buy,60,255.00,300.00,240
2024-01-10 13:30:00,AAPL,buy,80,190.00,160.00,180
2024-01-10 15:00:00,MSFT,buy,100,380.00,-300.00,45
2024-01-10 15:05:00,MSFT,buy,150,381.00,-450.00,15
2024-01-10 15:10:00,NVDA,buy,120,495.00,-960.00,10
2024-01-11 09:30:00,AAPL,buy,100,189.00,200.00,120
2024-01-11 11:30:00,TSLA,buy,50,260.00,500.00,90
2024-01-11 13:00:00,NVDA,buy,80,505.00,800.00,60
2024-01-11 14:00:00,NVDA,buy,120,510.00,1200.00,45
2024-01-11 14:15:00,NVDA,buy,200,515.00,-2000.00,10
2024-01-12 09:30:00,AAPL,buy,100,191.00,-100.00,30
2024-01-12 09:35:00,AAPL,buy,180,191.50,-360.00,8
2024-01-12 09:38:00,MSFT,buy,200,382.00,-800.00,5
2024-01-12 09:40:00,TSLA,buy,150,262.00,-750.00,3
2024-01-12 10:00:00,NVDA,buy,60,500.00,300.00,120
2024-01-12 12:00:00,AAPL,buy,80,190.50,80.00,180
2024-01-15 09:30:00,MSFT,buy,100,385.00,500.00,240
2024-01-15 13:30:00,TSLA,buy,40,258.00,200.00,120
2024-01-15 15:00:00,NVDA,buy,50,510.00,-250.00,60
2024-01-15 15:05:00,NVDA,buy,80,512.00,-400.00,15
2024-01-15 15:08:00,AAPL,buy,120,192.00,-240.00,5
2024-01-15 15:10:00,AAPL,buy,200,193.00,-600.00,3
